Name,Ticker,Sector,Sub-Sector, Market Cap , Close Price ,PE Ratio,Common Shares Outstanding
Polycab India Ltd,CANBK.NS,Financials,Electrical Components & Equipments,36387.47,2434.15,40.04916851,14.9118814
NMDC Ltd,YESBANK.NS,Financials,Mining - Iron Ore,36311.37,123.90,3.866260038,293.060585
Max Healthcare Institute Ltd,CONCOR.NS,Industrials,Hospitals & Diagnostic Centres,36278.87,374.15,59.96012028,96.5945006
Schaeffler India Ltd,HINDPETRO.NS,Energy,Auto Parts,36212.43,2316.80,57.5604563,15.630367
TVS Motor Company Ltd,SAIL.NS,Materials,Two Wheelers,35139.82,739.65,46.43087972,47.5087114
Punjab National Bank,PETRONET.NS,Energy,Public Banks,34849.86,31.65,9.602867987,1047.768223
Indian Overseas Bank,ASTRAL.NS,Industrials,Public Banks,34496.90,18.25,20.1790554,1643.69883
Voltas Ltd,SCHAEFFLER.NS,Consumer Discretionary,Home Electronics & Appliances,34393.81,1039.45,68.2295112,33.075644
Astral Ltd,PNB.NS,Financials,Building Products - Pipes,34131.32,1698.75,70.54839964,20.0907768
Indian Hotels Company Ltd,AUROPHARMA.NS,Health Care,"Hotels, Resorts & Cruise Lines",33777.10,237.80,-164.6458812,122.6755764
NHPC Ltd,IOB.NS,Financials,Renewable Energy,33701.09,33.55,9.564473466,1004.503481
Yes Bank Ltd,TVSMOTOR.NS,Consumer Discretionary,Private Banks,33698.95,13.45,31.67015903,2505.490598
Petronet LNG Ltd,SONACOMS.NS,Consumer Discretionary,Oil & Gas - Storage & Transportation,32932.50,219.55,9.578664421,150
Hindustan Petroleum Corp Ltd,VOLTAS.NS,Consumer Discretionary,Oil & Gas - Refining & Marketing,32889.04,231.85,4.508912302,145.2723884
Sona BLW Precision Forgings Ltd,NHPC.NS,Industrials,Auto Parts,32101.42,549.35,88.79077315,57.298056
MRF Ltd,JUBLFOOD.NS,Consumer Discretionary,Tires & Rubber,31973.15,75388.05,47.77531238,0.4241143
Bharat Forge Ltd,INDHOTEL.NS,Consumer Discretionary,Iron & Steel,31904.46,685.25,29.49310476,46.5761472
Shriram Transport Finance Company Ltd,TIINDIA.NS,Consumer Discretionary,Consumer Finance,31704.34,1171.90,11.6512963,25.3061513
Aurobindo Pharma Ltd,MRF.NS,Consumer Discretionary,Pharmaceuticals,30946.35,528.15,5.800801455,58.5915609
Tube Investments of India Ltd,BHARATFORG.NS,Materials,Cycles,30879.75,1600.40,40.16460514,19.2816871
Steel Authority of India Ltd,LAURUSLABS.NS,Health Care,Iron & Steel,30875.68,74.75,2.521807669,413.0525289
Gujarat Fluorochemicals Ltd,POLICYBZR.NS,Communication Services,Specialty Chemicals,30827.75,2806.35,39.16226879,10.985
PB Fintech Ltd,SRTRANSFIN.NS,Financials,Online Services,30278.23,689.55,-201.5190054,11.40975
Laurus Labs Ltd,IDEA.NS,Communication Services,Pharmaceuticals,30242.06,562.80,36.53658,53.6602385
Vodafone Idea Ltd,OBEROIRLTY.NS,Real Estate,Telecom Services,29870.53,9.30,-1.057536042,2873.538924
Power Finance Corporation Ltd,LUPIN.NS,Health Care,Specialized Finance,29278.50,110.90,2.089114629,264.0081408
Oberoi Realty Ltd,PFC.NS,Financials,Real Estate,28920.92,795.40,27.62001903,36.3602237
Tata Communications Ltd,FLUOROCHEM.NS,Materials,Telecom Services,28633.95,1004.70,19.41363716,28.5
Cummins India Ltd,IRFC.NS,Financials,Industrial Machinery,28562.69,1030.40,30.5895517,27.72
Oracle Financial Services Software Ltd,TATACOMM.NS,Communication Services,Software Services,28357.52,3286.05,15.01327461,8.6062233
Coromandel International Ltd,CUMMINSIND.NS,Industrials,Fertilizers & Agro Chemicals,27933.52,951.75,18.27559814,29.3378679
Lupin Ltd,HONAUT.NS,Information Technology,Pharmaceuticals,27859.53,612.90,-18.23220216,45.3680133
Persistent Systems Ltd,OFSS.NS,Information Technology,Software Services,27816.21,3757.65,40.29057387,7.643
Indian Railway Finance Corp Ltd,CRISIL.NS,Financials,Specialized Finance,27770.58,21.25,4.560156072,1306.8506
Honeywell Automation India Ltd,PERSISTENT.NS,Information Technology,Electronic Equipments,27655.84,31279.50,81.54938185,0.8841523
Deepak Nitrite Ltd,COROMANDEL.NS,Materials,Commodity Chemicals,27090.39,1986.20,25.39787164,13.63935
CG Power and Industrial Solutions Ltd,DEEPAKNTR.NS,Materials,Heavy Electrical Equipments,26945.27,176.45,29.49350691,133.8082629
Minda Industries Ltd,IGL.NS,Utilities,Auto Parts,26844.04,939.85,92.36181237,27.1928704
Max Financial Services Ltd,LINDEINDIA.NS,Materials,Insurance,26667.02,772.70,105.2493127,34.5090302
CRISIL Ltd,DALBHARAT.NS,Materials,Stock Exchanges & Ratings,26358.91,3609.70,56.58726394,7.2868446
Indraprastha Gas Ltd,GLAXO.NS,Health Care,Gas Distribution,26351.53,376.45,17.54114115,70.00008
Union Bank of India Ltd,OIL.NS,Energy,Public Banks,25903.69,37.90,4.973349889,640.6844355
Dalmia Bharat Ltd,ABFRL.NS,Consumer Discretionary,Cement,25746.33,1374.10,22.60432779,18.7117513
GlaxoSmithKline Pharmaceuticals Ltd,SOLARINDS.NS,Materials,Pharmaceuticals,25724.31,1518.50,15.17908933,16.9406034
Linde India Ltd,TATACHEM.NS,Materials,Commodity Chemicals,25662.02,3009.00,50.5944731,8.5286209
Aditya Birla Fashion and Retail Ltd,TTML.NS,Communication Services,Retail - Apparel,25345.82,271.45,-233.1293322,93.7530659
Aditya Birla Capital Ltd,IPCALAB.NS,Health Care,Diversified Financials,25227.40,104.40,14.78771347,241.5277978
Atul Ltd,MINDAIND.NS,Consumer Discretionary,Diversified Chemicals,24702.08,8348.95,40.87988771,2.9617098
Solar Industries India Ltd,RELAXO.NS,Consumer Discretionary,Commodity Chemicals,24494.75,2706.90,55.50841413,9.0490055
Relaxo Footwears Ltd,CGPOWER.NS,Industrials,Footwear,24488.10,983.75,105.2436813,24.8246436
Oil India Ltd,MFSL.NS,Financials,Oil & Gas - Exploration & Production,24382.85,224.85,4.33732757,108.4405194
Bata India Ltd,UNIONBANK.NS,Financials,Footwear,24217.80,1884.25,235.1471184,12.852754
Tata Chemicals Ltd,THERMAX.NS,Industrials,Diversified Chemicals,24206.63,949.95,19.24796512,25.4842598
Trident Ltd,ATUL.NS,Materials,Textiles,24047.85,48.05,28.84335038,509.595567
Bayer Cropscience Ltd,TRIDENT.NS,Consumer Discretionary,Fertilizers & Agro Chemicals,23831.89,5302.80,36.93149317,4.4942092
Coforge Ltd,ABCAPITAL.NS,Financials,IT Services & Consulting,23748.97,3898.30,35.89084865,6.0592349
REC Limited,RECLTD.NS,Financials,Specialized Finance,23708.89,120.05,2.362455094,197.4918
Tata Teleservices (Maharashtra) Ltd,COFORGE.NS,Information Technology,Telecom Services,23683.98,121.15,-19.49298514,195.49277
Zee Entertainment Enterprises Ltd,APLAPOLLO.NS,Industrials,TV Channels & Broadcasters,23503.91,244.70,24.3674942,96.0504475
GMR Infrastructure Ltd,ZEEL.NS,Communication Services,Construction & Engineering,23178.03,38.40,-22.65049972,603.5945275
Supreme Industries Ltd,SUPREMEIND.NS,Materials,Plastic Products,23137.31,1821.45,23.89107258,12.702687
IPCA Laboratories Ltd,BATAINDIA.NS,Consumer Discretionary,Pharmaceuticals,22842.26,900.35,25.23337377,12.6852109
IDFC First Bank Ltd,IDFCFIRSTB.NS,Financials,Private Banks,22665.67,36.45,171.3073402,567.5849855
Dixon Technologies (India) Ltd,SYNGENE.NS,Health Care,Home Electronics & Appliances,22573.97,3804.05,118.704153,5.8569355
Thermax Limited,GMRINFRA.NS,Industrials,Industrial Machinery,22561.26,2003.40,72.23995726,11.261486
Syngene International Ltd,SUMICHEM.NS,Materials,Labs & Life Sciences Services,22280.16,559.70,56.29146747,40
Crompton Greaves Consumer Electricals Ltd,CROMPTON.NS,Consumer Discretionary,Home Electronics & Appliances,22277.49,351.60,38.51705076,62.7691353
APL Apollo Tubes Ltd,VINATIORGA.NS,Materials,Building Products - Pipes,22179.86,886.20,39.79949023,24.9790751
Mahindra and Mahindra Financial Services Ltd,KANSAINER.NS,Materials,Consumer Finance,22082.24,179.10,19.42371389,123.1965618
Sumitomo Chemical India Ltd,ESCORTS.NS,Industrials,Commodity Chemicals,21962.41,440.00,51.85317527,49.9145736
3M India Ltd,BAYERCROP.NS,Materials,Stationery,21938.78,19475.05,80.66617697,1.126507
Kansai Nerolac Paints Ltd,M&MFIN.NS,Financials,Paints,21785.83,404.25,60.70843694,53.891972
Torrent Power Ltd,TORNTPOWER.NS,Utilities,Power Transmission & Distribution,21361.01,444.45,47.05379863,48.0616784
Escorts Ltd,LICHSGFIN.NS,Financials,Tractors,21221.40,1637.95,28.81502693,13.4834566
General Insurance Corporation of India,DIXON.NS,Consumer Discretionary,Insurance,21044.03,119.95,8.818758905,175.44
LIC Housing Finance Ltd,3MINDIA.NS,Industrials,Home Financing,21015.16,382.05,9.194389743,50.4663
Whirlpool of India Ltd,GICRE.NS,Financials,Home Electronics & Appliances,20900.23,1647.35,36.90207976,12.687
Indian Bank,PFIZER.NS,Health Care,Public Banks,20867.37,167.55,5.227937705,112.936657
KPR Mill Ltd,SUNDARMFIN.NS,Financials,Textiles,20666.07,604.60,24.54869624,34.405
Vinati Organics Ltd,GRINDWELL.NS,Industrials,Specialty Chemicals,20519.92,1996.45,59.20176098,10.278205
Phoenix Mills Ltd,KPRMILL.NS,Consumer Discretionary,Real Estate,20281.81,1135.95,93.40860714,17.1871176
Bank of India Ltd,INDIANB.NS,Financials,Public Banks,19946.95,48.60,5.847161011,327.766245
AIA Engineering Ltd,WHIRLPOOL.NS,Consumer Discretionary,Industrial Machinery,19823.31,2101.70,31.98959489,9.432037
Devyani International Ltd,PHOENIXLTD.NS,Real Estate,Restaurants & Cafes,19667.32,163.25,125.7983969,115.363449
Grindwell Norton Ltd,HATSUN.NS,Consumer Staple,Industrial Machinery,19640.07,1773.85,66.43012752,11.072
Pfizer Ltd,JKCEMENT.NS,Materials,Pharmaceuticals,19557.84,4275.15,31.92804239,4.5753012
Hatsun Agro Product Ltd,L&TFH.NS,Financials,FMCG - Foods,19341.42,897.25,88.75467674,21.5563323
Poonawalla Fincorp Ltd,NAVINFLUOR.NS,Materials,Consumer Finance,19296.19,252.25,51.40031574,26.9616712
Navin Fluorine International Ltd,EMAMILTD.NS,Consumer Staple,Specialty Chemicals,19126.52,3859.80,72.70231427,4.950322
Federal Bank Ltd,POONAWALLA.NS,Financials,Private Banks,18962.30,90.15,9.780633637,199.6150748
L&T Finance Holdings Ltd,BHEL.NS,Industrials,Diversified Financials,18926.13,76.50,17.68615432,246.9445704
J K Cement Ltd,BANKINDIA.NS,Financials,Cement,18737.56,2425.00,27.26970944,7.7268251
Fortis Healthcare Ltd,DEVYANI.NS,Consumer Discretionary,Hospitals & Diagnostic Centres,18473.83,244.70,33.27897731,75.4958148
Emami Ltd,FORTIS.NS,Health Care,FMCG - Personal Products,18459.92,418.45,22.00255277,44.451374
Clean Science and Technology Ltd,NATIONALUM.NS,Materials,Specialty Chemicals,18236.73,1716.90,79.81763499,10.621896
Bharat Heavy Electricals Ltd,CLEAN.NS,Materials,Heavy Electrical Equipments,17967.45,51.60,40.28304579,348.2063355
Tanla Platforms Ltd,FEDERALBNK.NS,Financials,Software Services,17955.74,1322.75,33.29576297,13.603645
Endurance Technologies Ltd (CN),PRESTIGE.NS,Real Estate,Auto Parts,17879.67,1271.10,38.80895559,14.0662848
Nippon Life India Asset Management Ltd,ENDURANCE.NS,Consumer Discretionary,Asset Management,17732.89,284.90,23.82941119,61.6504767
Blue Dart Express Ltd,IEX.NS,Utilities,Logistics,17730.46,7472.40,46.38931844,2.3757934
Sundaram Finance Ltd,AAVAS.NS,Financials,Consumer Finance,17676.11,1604.15,15.06477986,11.01809
National Aluminium Co Ltd,SUNTV.NS,Communication Services,Metals - Aluminium,17475.55,95.15,5.921085669,183.6631787
Aavas Financiers Ltd,BLUEDART.NS,Industrials,Home Financing,17379.26,2201.40,48.93084964,7.8504551
Dr. Lal PathLabs Ltd,NIACL.NS,Financials,Hospitals & Diagnostic Centres,17350.85,2096.30,50.32148269,8.3344877
SKF India Ltd,RAJESHEXPO.NS,Consumer Discretionary,Industrial Machinery,17339.38,3507.30,43.90160209,4.94
Indian Energy Exchange Ltd,AIAENG.NS,Industrials,Power Trading & Consultancy,17235.03,192.35,55.73169258,89.54891575
Sun Tv Network Ltd,NAM-INDIA.NS,Financials,TV Channels & Broadcasters,17081.60,433.45,10.40418922,39.408462
Kajaria Ceramics Ltd,CHAMBLFERT.NS,Materials,Building Products - Ceramics,17081.00,1072.90,45.31010272,15.9081
Prestige Estates Projects Ltd,RAMCOCEM.NS,Materials,Real Estate,16583.65,413.70,14.42056228,40.0861654
Central Bank of India Ltd,MRPL.NS,Energy,Public Banks,16406.98,18.90,15.51721823,587.556246
New India Assurance Company Ltd,LALPATHLAB.NS,Health Care,Insurance,16397.60,99.50,84.27609601,164.8
Godrej Industries Ltd,KAJARIACER.NS,Industrials,Diversified Chemicals,16301.54,484.30,24.93619384,33.6525098
Rajesh Exports Ltd,TANLA.NS,Information Technology,"Precious Metals, Jewellery & Watches",16268.82,551.00,19.25600831,29.5259959
Ramco Cements Limited,SKFINDIA.NS,Industrials,Cement,16225.02,686.65,18.18173454,23.5889945
Timken India Ltd,APTUS.NS,Financials,Industrial Machinery,16222.80,2156.75,49.59584364,7.5218734
CreditAccess Grameen Ltd,CREDITACC.NS,Financials,Consumer Finance,15899.95,1019.80,43.7966894,15.558204
Metro Brands Ltd,DCMSHRIRAM.NS,Materials,Footwear,15606.25,574.80,74.19180816,26.553429
Sundram Fasteners Ltd,CENTRALBK.NS,Financials,Auto Parts,15477.01,736.55,33.88729439,21.012837
DCM Shriram Ltd,GSPL.NS,Utilities,Diversified Chemicals,15410.22,999.30,14.45435124,16.3942296
Sanofi India Ltd,ISEC.NS,Financials,Pharmaceuticals,15389.98,6682.40,16.29604283,2.3030622
ZF Commercial Vehicle Control Systems India Ltd,SANOFI.NS,Health Care,Auto Parts,15064.81,7942.40,106.0379666,1.8967584
Aptus Value Housing Finance India Ltd,GODREJIND.NS,Materials,Home Financing,15048.30,303.65,40.65571072,9.4783
Chambal Fertilisers and Chemicals Ltd,ZFCVINDIA.NS,Consumer Discretionary,Fertilizers & Agro Chemicals,15017.42,361.15,9.589793128,41.6207852
Gujarat State Petronet Ltd,SUNDRMFAST.NS,Consumer Discretionary,Gas Distribution,14638.46,259.45,8.935209745,56.4211376
Ajanta Pharma Ltd,SFL.NS,Consumer Discretionary,Pharmaceuticals,14616.09,1711.15,20.50863024,8.729827
Alembic Pharmaceuticals Ltd,AJANTPHARM.NS,Health Care,Pharmaceuticals,14477.86,736.55,26.79100092,19.6563124
ICICI Securities Ltd,APLLTD.NS,Health Care,Investment Banking & Brokerage,14404.52,446.30,10.41842646,32.222237
Alkyl Amines Chemicals Ltd,METROBRAND.NS,Consumer Discretionary,Specialty Chemicals,14362.34,2812.15,63.86383647,5.10317775
Hitachi Energy India Ltd,TIMKEN.NS,Industrials,Heavy Electrical Equipments,14159.29,3340.90,69.6130472,4.2381675
Sheela Foam Ltd,ALKYLAMINE.NS,Materials,Home Furnishing,14133.60,2897.25,65.03888016,4.8782808
KPIT Technologies Ltd,IRB.NS,Industrials,IT Services & Consulting,14086.76,521.70,51.36843058,26.904356
UCO Bank,AFFLE.NS,Communication Services,Public Banks,14048.25,11.75,15.10954532,991.8340622
Indiamart Intermesh Ltd,BDL.NS,Industrials,Online Services,13986.24,4546.45,46.99677281,3.0316294
Apollo Tyres Limited,IIFLWAM.NS,Financials,Tires & Rubber,13972.22,220.00,21.87945633,63.5100946
Fine Organic Industries Ltd,APOLLOTYRE.NS,Consumer Discretionary,Specialty Chemicals,13820.61,4507.70,53.23603944,3.0659976
Affle (India) Ltd,UCOBANK.NS,Financials,Advertising,13770.83,1033.45,64.38578079,12.7481835
Narayana Hrudayalaya Ltd,KPITTECH.NS,Information Technology,Hospitals & Diagnostic Centres,13684.48,669.55,40.02129316,20.4360804
Bharat Dynamics Ltd,GRINFRA.NS,Industrials,Aerospace & Defense Equipments,13681.95,746.50,27.36772211,18.328125
Mangalore Refinery and Petrochemicals Ltd,FINEORG.NS,Materials,Oil & Gas - Refining & Marketing,13635.22,77.80,4.609217776,175.2663777
G R Infraprojects Ltd,NH.NS,Health Care,Construction & Engineering,13555.32,1401.95,16.29420942,9.668901
IRB Infrastructure Developers Ltd,CARBORUNIV.NS,Industrials,Construction & Engineering,13536.42,224.15,37.45550221,35.145
IIFL Wealth Management Ltd,SUVENPHAR.NS,Health Care,Asset Management,13473.64,1518.00,23.32168933,8.788277
Brightcom Group Ltd,INDIAMART.NS,Communication Services,Advertising,13462.19,67.55,27.87144625,105.8889956
Carborundum Universal Ltd,POWERINDIA.NS,Industrials,Industrial Machinery,13446.90,708.20,40.33989803,18.9590839
Suven Pharmaceuticals Ltd,ABSLAMC.NS,Financials,Pharmaceuticals,13022.27,511.55,28.69605625,25.4564956
Happiest Minds Technologies Ltd,HAPPSTMNDS.NS,Information Technology,IT Services & Consulting,12782.03,896.30,70.54101959,14.1783304
J B Chemicals and Pharmaceuticals Ltd,NATCOPHARM.NS,Health Care,Pharmaceuticals,12721.02,1646.05,33.0107421,7.7282097
Exide Industries Ltd,MOTILALOFS.NS,Financials,Batteries,12541.75,147.55,2.871983293,85
Aditya Birla Sun Life Amc Ltd,JBCHEPHARM.NS,Health Care,Asset Management,12417.12,431.15,18.45670883,14.4
Natco Pharma Ltd,EXIDEIND.NS,Industrials,Pharmaceuticals,12161.96,666.20,71.54093137,18.2337825
Century Plyboards (India) Ltd,RATNAMANI.NS,Industrials,Wood Products,11922.91,536.65,38.08385827,22.355299
Bank of Maharashtra Ltd,IIFL.NS,Financials,Public Banks,11845.67,17.60,10.28591725,656.0158901
Angel One Ltd,ANGELONE.NS,Financials,Investment Banking & Brokerage,11782.53,1418.35,19.16264297,8.2858722
Ratnamani Metals and Tubes Ltd,CDSL.NS,Financials,Building Products - Pipes,11765.18,2517.80,36.46533548,4.6728
Central Depository Services (India) Ltd,CENTURYPLY.NS,Materials,Stock Exchanges & Ratings,11735.87,1123.05,37.71409634,10.45
Motilal Oswal Financial Services Ltd,CHOLAHLDNG.NS,Financials,Diversified Financials,11731.25,787.00,8.95665816,14.6620374
Cholamandalam Financial Holdings Ltd,NLCINDIA.NS,Materials,Diversified Financials,11727.36,624.65,11.46291041,18.7722982
IIFL Finance Ltd,GLENMARK.NS,Health Care,Investment Banking & Brokerage,11612.44,305.80,9.775685036,37.8840676
TTK Prestige Ltd,TTKPRESTIG.NS,Consumer Discretionary,Home Electronics & Appliances,11559.72,833.95,37.84735029,13.86130497
Glenmark Pharmaceuticals Ltd,ALOKINDS.NS,Consumer Discretionary,Pharmaceuticals,11553.38,409.45,12.26863666,28.2168156
PVR Ltd,RADICO.NS,Consumer Staple,Theatres,11360.61,1862.50,-23.26850387,6.0762172
Capri Global Capital Ltd,REDINGTON.NS,Information Technology,Consumer Finance,11325.36,644.75,55.23755609,17.5285355
Bajaj Electricals Ltd,BCG.NS,Communication Services,Home Electronics & Appliances,11311.65,984.70,88.01473705,11.4536619
Shriram City Union Finance Ltd,KEI.NS,Industrials,Consumer Finance,11297.43,1694.75,9.808754267,6.6005022
Nuvoco Vistas Corporation Ltd,CGCL.NS,Financials,Cement,11271.85,315.60,351.3668388,31.5089061
KEI Industries Ltd,PVR.NS,Communication Services,Cables,11212.27,1244.35,29.81828141,8.9855438
BASF India Ltd,CAMS.NS,Financials,Diversified Chemicals,11075.93,2558.80,18.62001473,4.3284958
Asahi India Glass Ltd,SHRIRAMCIT.NS,Financials,Auto Parts,10963.36,451.00,31.79812022,24.3089931
Radico Khaitan Ltd,SJVN.NS,Industrials,Alcoholic Beverages,10904.44,815.75,43.87397352,13.3568265
NLC India Ltd,MEDPLUS.NS,Communication Services,Metals - Diversified,10898.96,78.60,9.980279059,138.6636609
Alok Industries Ltd,BAJAJELEC.NS,Consumer Discretionary,Textiles,10799.53,21.75,-51.77146453,496.5254322
SJVN Ltd,MAHABANK.NS,Financials,Renewable Energy,10787.29,27.45,10.89845197,392.9795175
Castrol India Ltd,BSOFT.NS,Information Technology,Commodity Chemicals,10731.98,108.50,14.15660128,98.9122384
Elgi Equipments Ltd,BASF.NS,Materials,Industrial Machinery,10646.88,336.60,59.6697715,31.691
Brigade Enterprises Ltd,ELGIEQUIP.NS,Industrials,Real Estate,10549.96,457.85,127.4611325,21.09
Redington (India) Ltd,NUVOCO.NS,Materials,Technology Hardware,10526.13,134.70,8.005454151,77.8438544
Birlasoft Ltd,CASTROLIND.NS,Materials,IT Services & Consulting,10439.28,373.20,22.51641197,27.7286094
Computer Age Management Services Ltd,RENUKA.NS,Consumer Staple,Diversified Financials,10407.47,2126.95,36.26929027,4.8791038
MedPlus Health Services Ltd,CESC.NS,Utilities,Online Services,10324.71,865.40,161.7026343,0.0486764
CESC Ltd,ASAHIINDIA.NS,Consumer Discretionary,Power Generation,10299.68,77.70,7.578868463,133.217043
Galaxy Surfactants Ltd,BRIGADE.NS,Real Estate,Specialty Chemicals,10268.41,2896.20,39.07605325,3.5454752
City Union Bank Ltd,GALAXYSURF.NS,Materials,Private Banks,10250.65,138.60,13.48485437,73.8822111
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,VTL.NS,Consumer Discretionary,Fertilizers & Agro Chemicals,10177.60,654.85,5.973645784,15.5418783
Quess Corp Ltd,KIMS.NS,Health Care,Employment Services,10175.83,687.60,42.1848549,14.7678864
V Guard Industries Ltd,BSE.NS,Financials,Electrical Components & Equipments,10119.66,234.50,44.446848,43.0188458
Krishna Institute of Medical Sciences Ltd,GNFC.NS,Materials,Hospitals & Diagnostic Centres,10101.51,1262.25,30.36312307,7.7593283
Godrej Agrovet Ltd,ZYDUSWELL.NS,Consumer Staple,Agro Products,10094.26,525.35,25.07330151,19.20719
KEC International Ltd,HINDCOPPER.NS,Materials,Construction & Engineering,9909.47,385.45,29.84061437,25.708837
E I D-Parry (India) Ltd,BLUESTARCO.NS,Consumer Discretionary,Sugar,9901.70,558.05,10.91902828,17.7102391
Balaji Amines Ltd,KEC.NS,Industrials,Specialty Chemicals,9845.04,3038.50,26.72161293,3.2401
Zydus Wellness Ltd,ERIS.NS,Health Care,FMCG - Foods,9736.04,1530.05,31.5214692,6.3632144
Lakshmi Machine Works Ltd,VGUARD.NS,Industrials,Industrial Machinery,9727.94,9106.00,53.73068103,1.0683
Laxmi Organic Industries Ltd,QUESS.NS,Industrials,Specialty Chemicals,9669.87,365.20,37.7169613,26.3662773
Blue Star Ltd,RHIM.NS,Materials,Home Electronics & Appliances,9666.54,1003.65,57.63844356,9.6313888
Aster DM Healthcare Ltd,GODREJAGRO.NS,Consumer Staple,Hospitals & Diagnostic Centres,9601.30,193.10,18.25376539,49.7
Hindustan Copper Ltd,BALAMINES.NS,Materials,Mining - Copper,9520.49,102.90,25.46812161,92.5218
Finolex Industries Ltd,EASEMYTRIP.NS,Consumer Discretionary,Building Products - Pipes,9466.80,153.10,9.004507824,62.0476905
Shree Renuka Sugars Ltd,LAXMIMACH.NS,Industrials,Sugar,9461.14,44.45,-68.31145878,212.8489773
Eris Lifesciences Ltd,LXCHEM.NS,Materials,Pharmaceuticals,9372.94,689.40,23.07981081,13.5780653
BSE Ltd,FINPIPE.NS,Industrials,Stock Exchanges & Ratings,9319.96,689.00,36.64513699,13.50778437
Intellect Design Arena Ltd,CUB.NS,Financials,Software Services,9072.86,673.85,25.99001713,13.2974363
Cyient Ltd,GRAPHITE.NS,Industrials,Software Services,8923.02,808.85,17.08409763,11.0317416
Amber Enterprises India Ltd,AMBER.NS,Consumer Discretionary,Home Electronics & Appliances,8862.45,2630.30,81.16543558,3.3693731
RHI Magnesita India Ltd,HFCL.NS,Communication Services,Cement,8859.63,550.30,32.93664484,12.01392
Graphite India Ltd,AMARAJABAT.NS,Industrials,Electrical Components & Equipments,8757.71,448.25,17.34200198,19.5375594
UTI Asset Management Company Ltd,UTIAMC.NS,Financials,Asset Management,8703.98,685.60,16.29074692,12.679
ITI Ltd,METROPOLIS.NS,Health Care,Telecom Equipments,8700.43,93.20,71.8687687,93.3522869
Metropolis Healthcare Ltd,EIDPARRY.NS,Consumer Staple,Hospitals & Diagnostic Centres,8698.94,1699.85,40.61129491,5.1106813
HFCL Ltd,ASTERDM.NS,Health Care,Telecom Equipments,8665.60,62.95,27.67500534,128.4377194
Amara Raja Batteries Ltd,EIHOTEL.NS,Consumer Discretionary,Batteries,8610.66,504.10,16.79898965,17.08125
Vardhman Textiles Ltd,CYIENT.NS,Information Technology,Textiles,8610.53,298.00,5.566346178,28.2795435
EIH Ltd,BALRAMCHIN.NS,Consumer Staple,"Hotels, Resorts & Cruise Lines",8423.66,134.70,-86.43192624,62.5364182
Balrampur Chini Mills Ltd,SHYAMMETL.NS,Materials,Sugar,8379.05,400.85,18.0334183,21
Century Textile and Industries Ltd,NETWORK18.NS,Communication Services,Cement,8293.40,742.50,49.80126248,11.169568
Easy Trip Planners Ltd,INTELLECT.NS,Information Technology,Tour & Travel Services,8201.61,377.45,77.43943962,21.72791355
V I P Industries Ltd,SUZLON.NS,Industrials,Apparel & Accessories,8187.23,578.60,122.3252848,14.1317315
Borosil Renewables Ltd,BORORENEW.NS,Consumer Discretionary,Housewares,8091.08,620.50,48.78554662,13.0049299
Route Mobile Ltd,SAREGAMA.NS,Communication Services,IT Services & Consulting,8013.15,1274.50,48.22259697,5.7713583
Manappuram Finance Ltd,IDFC.NS,Financials,Consumer Finance,7977.27,94.25,6.005036261,84.6364729
Saregama India Ltd,ITI.NS,Communication Services,Movies & TV Serials,7968.25,413.70,52.21660944,17.428012
Fertilisers And Chemicals Travancore Ltd,LATENTVIEW.NS,Information Technology,Fertilizers & Agro Chemicals,7958.99,123.00,22.52883062,64.7071974
IDFC Ltd,FACT.NS,Materials,Diversified Financials,7950.25,49.80,124.1644696,159.6358316
Shyam Metalics and Energy Ltd,ROUTE.NS,Information Technology,Iron & Steel,7940.66,311.30,4.604590184,23.36101
Latent View Analytics Ltd,JSL.NS,Materials,IT Services & Consulting,7898.55,394.10,60.99268108,17.0836575
Tata Investment Corporation Ltd,BIRLACORPN.NS,Materials,Asset Management,7882.24,1557.90,36.79164098,5.0595296
Chemplast Sanmar Ltd,CENTURYTEX.NS,Materials,Building Products - Pipes,7825.61,494.95,12.06446245,13.408
Allcargo Logistics Ltd,AEGISCHEM.NS,Energy,Logistics,7819.26,318.25,8.446588153,24.5695524
Jubilant Ingrevia Ltd,MANAPPURAM.NS,Financials,Pharmaceuticals,7818.10,491.80,16.4001222,15.9281139
Gujarat Ambuja Exports Ltd,VIPIND.NS,Consumer Discretionary,Agro Products,7792.81,339.80,16.39074229,22.933533
Suzlon Energy Ltd,ALLCARGO.NS,Industrials,Renewable Energy Equipment & Services,7782.15,7.95,-41.12536978,850.8012773
Network18 Media & Investments Ltd,INDIGOPNTS.NS,Materials,Movies & TV Serials,7658.43,73.15,36.90097531,103.5361757
Birla Corporation Ltd,MASTEK.NS,Information Technology,Cement,7640.86,992.25,19.16971213,7.7005347
Firstsource Solutions Ltd,GAEL.NS,Consumer Staple,Outsourced services,7534.17,110.80,14.02071718,69.6099216
Mastek Ltd,CHEMPLASTS.NS,Industrials,IT Services & Consulting,7494.15,2496.55,25.39270502,2.5232889
Indigo Paints Ltd,ANURAS.NS,Materials,Paints,7493.31,1575.25,89.1423537,4.7568997
Mahanagar Gas Ltd,SYMPHONY.NS,Consumer Discretionary,Gas Distribution,7403.39,749.50,12.40203444,9.8777778
